33	[0.07089605294726176, 0.4634093233781381, 0.9785499360333356]	[0.6504701445126143, 0.9445322250498945, 0.6437219854260127]
34	[0.2433227275446912, 0.46070773071479554, 0.6581189108238813]	[0.1116632967457013, 0.896926876118503, 0.37969103815987326]
35	[0.9429358459589646, 0.5945943103132053, 0.43244948885640344]	[0.9981240542916643, 0.7112926728308909, 0.9508207388776375]
36	[0.9404957270051649, 0.8043104771384822, 0.5019573720637854]	[0.20273400260134422, 0.38823832035927486, 0.16125255870899002]
37	[0.1202381967277073, 0.7781603716454445, 0.5282891186675411]	[0.4913458602313381, 0.21293142824123712, 0.15218272129258792]
38	[0.28362924039346193, 0.4147638539708459, 0.8659994653611032]	[0.9062609280814237, 0.4102840607222873, 0.7053846445662709]
39	[0.9340037558322403, 0.8893704222163737, 0.5729413743762811]	[0.08659045961106704, 0.15259236599586667, 0.5347516572749819]
40	[0.41938705745699356, 0.9653376300766866, 0.47440210710068165]	[0.3886857055670587, 0.8126357226875041, 0.13750634244358217]
41	[0.5224798347208265, 0.49052615459703997, 0.033213346537491195]	[0.771737246678798, 0.04393528462952889, 0.7138840233693808]
42	[0.20513020372700486, 0.3847206504172056, 0.9162460132408677]	[0.7735990549992721, 0.7662096889274562, 0.961018777492041]
43	[0.16511664694442518, 0.2613199039479076, 0.36956347480418494]	[0.45907099557483755, 0.5128162908256745, 0.4168326019436863]
44	[0.2009674800444624, 0.01820156162829656, 0.5308585480705864]	[0.8252929298219893, 0.2790821673813203, 0.7891815620239017]
45	[0.3769325192027859, 0.3875461482904332, 0.07394874780181748]	[0.20531994673798148, 0.3051204923223526, 0.8510157535978723]
46	[0.09336123544612884, 0.051545905676540715, 0.7126917008233384]	[0.7113214379052892, 0.9444179417965104, 0.04754141416674784]
47	[0.4144015661752406, 0.4676169457735253, 0.01983914443024537]	[0.8357492654048867, 0.36253558395104923, 0.23720551125711165]
48	[0.5079824236781663, 0.4172357235093833, 0.8509969744184861]	[0.9878027452909929, 0.5068775816610371, 0.104764439479203]
49	[0.5745058114094236, 0.5901671665531172, 0.31221431259115606]	[0.8881834821556214, 0.7631718805013148, 0.6735990222350889]
50	[0.3716285846897519, 0.8929158020180638, 0.7835521564235726]	[0.9862092171043496, 0.9346057039365511, 0.4435547370126217]
51	[0.16028211317506902, 0.20740663732572362, 0.8865206341552622]	[0.39614623323302656, 0.1848258578689549, 0.5244808507511194]
52	[0.802193057683404, 0.8803195305474767, 0.9749843120635017]	[0.9101105842855612, 0.1906555111173026, 0.5852050008410064]
53	[0.2960734003893938, 0.1979834018249944, 0.6913843840351224]	[0.08720264604035566, 0.6236883820267756, 0.42692803741528385]
54	[0.8526609477509637, 0.833868608547932, 0.23700542159885774]	[0.7646176611120441, 0.8841110927733744, 0.8983658229235285]
55	[0.4579322051175645, 0.8256425059997489, 0.7883340954230345]	[0.657499177294718, 0.240949125372236, 0.2353541473451758]
56	[0.55616051721792, 0.9950022836982215, 0.5408747023105989]	[0.7824182938805833, 0.5590839341173619, 0.623387179950798]
57	[0.7839915303998267, 0.14007448912937337, 0.7144071140073652]	[0.23883137285519074, 0.7917667534130657, 0.6133162107236271]
58	[0.03132193956188434, 0.6471013986946427, 0.6329768260339895]	[0.7703569447783507, 0.5938902852555622, 0.2098617962606737]
59	[0.48914627105882846, 0.06692488208057534, 0.7539335701851334]	[0.9914326274573737, 0.5911697088139343, 0.8228214828150958]
60	[0.8503897290672262, 0.5185015230535668, 0.51879732342741]	[0.25425578774478585, 0.16707364003393033, 0.27970284791939914]
61	[0.424656207561937, 0.3792485498794774, 0.7711027782347195]	[0.3282187108943525, 0.3496256655989375, 0.24021656104455935]
62	[0.4607919603694005, 0.13881923104230098, 0.34460330887509805]	[0.2854024117096987, 0.6580271106354889, 0.3848471444983642]
63	[0.24089991146132006, 0.6323452619598263, 0.28277443500524846]	[0.8406392354940182, 0.4637544551679189, 0.027270591758565943]
64	[0.29931756919478747, 0.5384295949802539, 0.17450835926559305]	[0.0775770486901255, 0.0379772352613309, 0.8665828509477745]
65	[0.7432398243425747, 0.4313803531875059, 0.6270268986685916]	[0.9876752778590635, 0.6785460056267383, 0.7921881772794394]
66	[0.6238575846059953, 0.3241613920407559, 0.20416747398419766]	[0.13289798608943326, 0.348050000693361, 0.5099903163327866]
67	[0.8292823838745175, 0.3931940230112678, 0.11249344882281942]	[0.11074369917845694, 0.8073247114884744, 0.24229640602641478]
68	[0.5395645434840699, 0.073064156461496, 0.11175983898558539]	[0.7810045995375253, 0.7586918691548455, 0.12020098441609073]
69	[0.20019366239742542, 0.574502398193934, 0.206114609121146]	[0.42154826591461947, 0.6794864114392889, 0.7101003971719506]
70	[0.26561752422630824, 0.5593495313275795, 0.6849274656039946]	[0.10182502243144032, 0.23118181453535713, 0.22361238380627968]
71	[0.9385042085928034, 0.6790933456844006, 0.9660570710478159]	[0.6319030448971372, 0.6303925108910698, 0.23531480497299628]
72	[0.4618207326748768, 0.5314950913123704, 0.16565422707259447]	[0.3042194203177957, 0.07784480910808322, 0.41468986412190745]
73	[0.10711742240077948, 0.0022074740717242802, 0.7654348547143708]	[0.7180523141268272, 0.7276873051807109, 0.21760897882230668]
74	[0.7582840450357428, 0.783245721022029, 0.5973842277888262]	[0.2831276936876117, 0.8347357809134751, 0.4557212138232076]
75	[0.34132250269663467, 0.8264168667786355, 0.16899783741761365]	[0.42800825953725075, 0.6985067138149238, 0.08300040689507893]
76	[0.1156606192608054, 0.6514051327797283, 0.2534465941417362]	[0.3673990215376508, 0.8393916071101399, 0.487075629109721]
77	[0.7721127641703941, 0.5353319094175745, 0.8876042827908629]	[0.04169127644799331, 0.35374166154654163, 0.560486100904735]
78	[0.0765202073727258, 0.6303892952214386, 0.46650796140422435]	[0.32913568177307817, 0.5910090625015922, 0.11041524411963133]
79	[0.5414191640555429, 0.2824572417785828, 0.9710020487419081]	[0.40229051548811734, 0.7539127355680655, 0.8063505630937104]
80	[0.2432791859451554, 0.48058517869308603, 0.5090016937430638]	[0.4124194390893626, 0.5075534862478416, 0.6733777703907501]
81	[0.37100277615312904, 0.26182892047375217, 0.6896885908557506]	[0.9343963569143957, 0.7265492249314867, 0.5926952066507216]
82	[0.12437131679756797, 0.20013802436629813, 0.48309421390879725]	[0.9593086900010329, 0.5740932396694717, 0.9774089924647562]
83	[0.8941473526405674, 0.049798839336344214, 0.9896110479657928]	[0.04387996108958114, 0.28181203577549485, 0.4387052287629125]
84	[0.36378133602141194, 0.6564332624155741, 0.13442437953044029]	[0.6199392659235223, 0.9414627200503318, 0.5241471137154543]
85	[0.5759108665731119, 0.07197870077018231, 0.07994198430928101]	[0.5272343642524464, 0.43793805743125147, 0.9341002986094465]
86	[0.032811992777073695, 0.42087455583364686, 0.24802689843437287]	[0.3789619374209173, 0.2653619968153368, 0.9295163277941808]
87	[0.2457871782966723, 0.8106687837559594, 0.6036380206249777]	[0.3232962738111046, 0.8185103024693765, 0.3299027363363657]
88	[0.7083189003199624, 0.8537807834897256, 0.1428599182381195]	[0.7065534355802002, 0.6637303899698683, 0.5817813691330617]
89	[0.7092186756060747, 0.13211364921764357, 0.7638129759909171]	[0.06502168783632845, 0.2324709005551201, 0.28707412503361485]
90	[0.483369566046709, 0.8228790224485669, 0.21904206834589313]	[0.9627107304442696, 0.995683506925834, 0.6896637249526251]
91	[0.25497529878767744, 0.8736817517155728, 0.8609356973051216]	[0.4626629820655265, 0.7016842090750125, 0.6291539433177655]
92	[0.8829112137120323, 0.22369760138468187, 0.6063593493460009]	[0.6486524447446617, 0.6881357564926247, 0.6506875242692695]
93	[0.7702641282537056, 0.6466862652550628, 0.9010938423778001]	[0.3211217791901183, 0.784923894650989, 0.729307735443098]
94	[0.2625004757743614, 0.9383026032718816, 0.4003650301993713]	[0.3052248192938558, 0.7168315701271963, 0.701864529443923]
95	[0.4832454947797151, 0.8244882293701802, 0.33217561665296724]	[0.4649055563340898, 0.2910666469409906, 0.7449540101278755]
96	[0.9144010186312374, 0.1871434152087229, 0.9290503334487842]	[0.5404124356435718, 0.5074533192547048, 0.03578808949548873]
97	[0.8019550940105581, 0.6629532122939414, 0.21257881361761444]	[0.1303190892056254, 0.33994766356425943, 0.8358473061556148]
98	[0.7133291886314728, 0.1748736855898536, 0.43390855092227154]	[0.9425090178556603, 0.4021599197271062, 0.8718430677339832]
99	[0.7358062611160557, 0.9240259198405489, 0.46638709846278603]	[0.5177119304930144, 0.5756361945102539, 0.20697108898316652]
